
 *GET  ACTIVEUNITS  FROM  ACTI  ITEM=UNIT       VALUE=  5.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2023 R1          23.1     ***
 Ansys Mechanical Enterprise Academic Student      
 01055371  VERSION=WINDOWS x64   10:34:43  APR 04, 2023 CP=      0.422

 test--Harmonic Response (P5)                                                  



          ***** MAPDL POST26 VARIABLE LISTING *****


    FREQ                 6 REAL                      7 IMAG    
                      IMPD_REA                    IMPD_IMA
                      L                           G       
                    REAL       IMAGINARY        REAL       IMAGINARY    
   0.13467E+06   0.00000       0.00000      0.294903E-005  0.00000     
   0.13513E+06   0.00000       0.00000     -0.184409E-005  0.00000     
   0.13560E+06   0.00000       0.00000      0.286907E-006  0.00000     
   0.13607E+06   0.00000       0.00000     -0.127654E-005  0.00000     
   0.13653E+06   0.00000       0.00000     -0.516563E-006  0.00000     
   0.13700E+06   0.00000       0.00000      0.659393E-005  0.00000     
   0.13747E+06   0.00000       0.00000      0.151824E-005  0.00000     
   0.13793E+06   0.00000       0.00000      0.549207E-005  0.00000     
   0.13840E+06   0.00000       0.00000     -0.381704E-005  0.00000     
   0.13887E+06   0.00000       0.00000      0.703459E-007  0.00000     
   0.13933E+06   0.00000       0.00000     -0.455363E-004  0.00000     
   0.13980E+06   0.00000       0.00000      0.111142E-004  0.00000     
   0.14027E+06   0.00000       0.00000      0.693263E-005  0.00000     
   0.14073E+06   0.00000       0.00000      0.991822E-005  0.00000     
   0.14120E+06   0.00000       0.00000      0.380144E-006  0.00000     
   0.14167E+06   0.00000       0.00000     -0.310470E-004  0.00000     
   0.14213E+06   0.00000       0.00000      0.341211E-005  0.00000     
   0.14260E+06   0.00000       0.00000      0.110670E-004  0.00000     
   0.14307E+06   0.00000       0.00000     -0.203186E-003  0.00000     
   0.14353E+06   0.00000       0.00000     -0.302254E-004  0.00000     
   0.14400E+06   0.00000       0.00000      0.143958E-004  0.00000     
   0.14447E+06   0.00000       0.00000      0.107037E-004  0.00000     
   0.14493E+06   0.00000       0.00000     -0.364833E-006  0.00000     
   0.14540E+06   0.00000       0.00000     -0.158234E-006  0.00000     
   0.14587E+06   0.00000       0.00000      0.124240E-005  0.00000     
   0.14633E+06   0.00000       0.00000      0.105375E-005  0.00000     
   0.14680E+06   0.00000       0.00000      0.251197E-005  0.00000     
   0.14727E+06   0.00000       0.00000      0.467888E-005  0.00000     
   0.14773E+06   0.00000       0.00000      0.853690E-006  0.00000     
   0.14820E+06   0.00000       0.00000      0.994672E-006  0.00000     
   0.14867E+06   0.00000       0.00000      0.862256E-006  0.00000     
   0.14913E+06   0.00000       0.00000      0.169996E-005  0.00000     
   0.14960E+06   0.00000       0.00000      0.162140E-005  0.00000     
   0.15007E+06   0.00000       0.00000      0.636168E-006  0.00000     
   0.15053E+06   0.00000       0.00000      0.272684E-006  0.00000     
   0.15100E+06   0.00000       0.00000      0.643958E-006  0.00000     
   0.15147E+06   0.00000       0.00000      0.342850E-006  0.00000     
   0.15193E+06   0.00000       0.00000     -0.107191E-005  0.00000     
   0.15240E+06   0.00000       0.00000      0.115462E-006  0.00000     
   0.15287E+06   0.00000       0.00000      0.177030E-005  0.00000     
   0.15333E+06   0.00000       0.00000     -0.509781E-005  0.00000     
   0.15380E+06   0.00000       0.00000      0.535281E-006  0.00000     
   0.15427E+06   0.00000       0.00000      0.427777E-006  0.00000     
   0.15473E+06   0.00000       0.00000      0.464473E-006  0.00000     
   0.15520E+06   0.00000       0.00000      0.108440E-005  0.00000     
   0.15567E+06   0.00000       0.00000      0.779034E-006  0.00000     
   0.15613E+06   0.00000       0.00000      0.534757E-005  0.00000     
   0.15660E+06   0.00000       0.00000     -0.761270E-006  0.00000     
   0.15707E+06   0.00000       0.00000     -0.132603E-005  0.00000     
   0.15753E+06   0.00000       0.00000     -0.103297E-006  0.00000     
